CustomerID,Recency,CustomerLifetime,Frequency,Monetary,AvgOrderValue,AvgQuantity,UniqueProducts,HighValueCustomer,Cluster
12346,325,0,1,77183.6,77183.6,74215.0,1,1,3
12347,1,365,7,4310.0,23.681318681318682,13.505494505494505,103,1,0
12348,74,282,4,1797.24,57.97548387096774,75.51612903225806,22,1,0
12349,18,0,1,1757.55,24.076027397260273,8.643835616438356,73,1,0
12350,309,0,1,334.4,19.670588235294115,11.588235294117647,17,0,1
12352,35,260,8,2506.04,29.482823529411764,6.305882352941176,59,1,0
12353,203,0,1,89.0,22.25,5.0,4,0,1
12354,231,0,1,1079.4,18.610344827586207,9.137931034482758,58,0,1
12355,213,0,1,459.4,35.33846153846154,18.46153846153846,13,0,1
12356,22,302,3,2811.43,47.65135593220339,26.966101694915253,53,1,0
12357,32,0,1,6207.67,47.38679389312977,20.671755725190838,131,1,0
12358,1,149,2,1168.06,61.47684210526315,13.052631578947368,13,0,0
12359,57,274,4,6372.58,25.695887096774193,6.540322580645161,214,1,0
12360,51,148,3,2662.06,20.63612403100775,9.031007751937985,105,1,0
12361,286,0,1,189.9,18.990000000000002,9.1,10,0,1
12362,2,292,10,5226.23,19.647481203007516,8.3796992481203,201,1,0
12363,109,132,2,552.0,24.0,17.73913043478261,23,0,0
12364,7,104,4,1313.1,15.448235294117646,17.71764705882353,70,0,0
12365,290,0,2,641.38,29.153636363636362,7.909090909090909,22,0,1
12367,3,0,1,168.9,15.354545454545455,15.727272727272727,11,0,0
12370,50,309,4,3545.69,21.231676646706585,14.089820359281438,143,1,0
12371,44,14,2,1887.96,29.96761904761905,9.380952380952381,63,1,0
12372,71,224,3,1298.04,24.962307692307693,15.26923076923077,34,0,0
12373,310,0,1,364.6,26.042857142857144,14.071428571428571,14,0,1
12374,24,0,1,742.9300000000001,22.513030303030305,10.363636363636363,33,0,0
12375,10,87,2,457.5,26.91176470588235,10.470588235294118,14,0,0
12377,314,39,2,1628.12,21.144415584415583,12.25974025974026,72,0,1
12378,129,0,1,4008.62,18.30420091324201,11.547945205479452,219,1,0
12379,81,88,2,852.24,21.306,10.175,39,0,0
12380,21,164,4,2724.81,26.200096153846154,10.836538461538462,77,1,0
12381,4,115,5,1845.31,21.21045977011494,9.28735632183908,70,1,0
12383,184,167,5,1850.56,18.69252525252525,15.474747474747474,84,1,1
12384,28,92,2,585.27,21.676666666666666,4.666666666666667,26,0,0
12386,337,29,2,401.9,40.19,35.4,10,0,1
12388,15,311,6,2780.66,27.8066,14.62,57,1,0
12390,79,0,1,549.84,17.1825,11.03125,32,0,0
12391,21,0,1,460.89,4.6089,3.0,92,0,0
12393,71,260,4,1582.6000000000001,24.728125000000002,12.75,47,0,0
12394,63,153,2,1272.48,47.12888888888889,30.333333333333332,26,0,0
12395,18,351,12,3018.63,19.350192307692307,13.576923076923077,91,1,0
12397,35,99,2,2409.9,19.126190476190477,10.023809523809524,110,1,0
12398,45,0,1,1635.6599999999999,19.24305882352941,16.4,85,0,0
12399,118,142,4,1108.65,18.790677966101697,19.966101694915253,47,0,0
12401,302,0,1,84.3,16.86,2.2,5,0,1
12402,322,0,1,225.6,20.509090909090908,8.545454545454545,11,0,1
12403,49,0,1,427.7,85.53999999999999,19.2,5,0,0
12405,148,0,1,1710.39,31.67388888888889,15.87037037037037,54,1,1
12406,21,161,2,3415.3,32.52666666666667,17.314285714285713,92,1,0
12407,49,214,5,1708.1200000000001,22.183376623376624,18.38961038961039,57,1,0
12408,32,227,5,2888.55,27.51,13.41904761904762,81,1,0
12409,78,103,3,11072.67,101.58412844036697,50.92660550458716,91,1,0
12410,308,0,2,693.3299999999999,26.666538461538458,8.115384615384615,26,0,1
12412,74,94,3,1226.88,20.112786885245903,13.59016393442623,43,0,0
12413,66,270,3,758.1,19.95,7.526315789473684,29,0,0
12414,216,93,3,562.41,31.244999999999997,16.666666666666668,16,0,1
12415,23,313,21,124914.53,174.95032212885152,108.36694677871148,444,1,2
12417,2,354,9,3649.1,19.005729166666665,8.083333333333334,158,1,0
12418,112,0,1,668.58,19.664117647058823,11.970588235294118,34,0,0
12420,63,0,1,600.39,20.70310344827586,11.89655172413793,29,0,0
12421,15,303,4,807.04,17.93422222222222,10.755555555555556,32,0,0
12422,95,229,3,803.5600000000001,20.604102564102565,9.487179487179487,39,0,0
12423,0,352,8,1859.31,14.87448,10.712,97,1,0
